Price,Date_Place,Brand,Year,New_Car,Engine,Km,Transmission,Gas
€71.500,Limassol,BMW,2020,8-Series ,"3,0L",38000,Automatic,Petrol
€9.000,Limassol,BMW,2010,1-Series ,"1,6L",115000,Automatic,Petrol
€1.150,Limassol,Peugeot,2004,307 ,"1,6L",190000,Manual,Petrol
€35.000,Lefkosia,Jaguar,2019,E-Pace ,"2,0L",91000,Automatic,Diesel
€5.150,Larnaca,Ford,2012,Fiesta ,"1,2L",165694,Manual,Petrol
€8.750,Paphos,Ford,2016,Fiesta ,"1,2L",71680,Manual,Petrol
€7.500,Larnaca,KIA,2015,Rio ,"1,2L",113152,Manual,Petrol
€9.500,Larnaca,"Opel,",2015,Vauxhall Insignia ,"2,0L",114309,Manual,Diesel
€6.700,Limassol,"Opel,",2014,Vauxhall Corsa ,"1,2L",139500,Manual,Petrol
€6.500,Limassol,Toyota,2008,Prius ,"1,3L",180000,None,Petrol
€5.000,Larnaca,KIA,2013,Picanto ,"1,0L",173217,Manual,Petrol
€9.900           ,Larnaca,Ford,2017,Focus ,"1,0L",69934,Manual,Petrol
€20.500,Limassol,Nissan,2018,Serena ,"2,0L",55950,Automatic,Petrol
€37.500,Lefkosia,Mercedes-Benz,2017,C-Class ,"2,2L",69500,Automatic,Diesel
€24.000,Limassol,Honda,2008,S2000 ,"2,0L",103000,Manual,Petrol
€4.400,Lefkosia,Audi,2007,A6 ,"2,0L",314000,Automatic,Petrol
€35.000,Limassol,Mercedes-Benz,2018,E-Class ,"2,0L",30600,Automatic,Diesel
€17.000,Paphos,Audi,2014,A5 ,"1,8L",132000,Automatic,Petrol
€4.000,Limassol,Volvo,2005,S40 ,"1,6L",199000,Manual,Petrol
€7.000,Limassol,BMW,2006,X5 ,"3,0L",245000,Automatic,Diesel
€13.500,Lefkosia,Toyota,2016,Auris ,"1,4L",123500,Manual,Diesel
€34.000,Lefkosia,Land,2016,Rover Discovery Sport ,"2,0L",130000,Automatic,Diesel
€26.000,Limassol,BMW,2012,6-Series ,"2,9L",140,Automatic,Diesel
€3.850,Lefkosia,Chevrolet,1988,Luv ,"2,5L",341306,Manual,Diesel
€70.000,Limassol,Maserati,2014,GranTurismo ,"4,7L",50000,Automatic,Petrol
€8.700,Limassol,Audi,2010,A4 ,"1,8L",200000,Automatic,Petrol
€13.300,Lefkosia,Toyota,2018,Vitz ,"1,3L",70000,Automatic,Petrol
€12.000,Limassol,BMW,2007,X5 ,"3,0L",290000,Automatic,Diesel
€17.500,Lefkosia,Toyota,2017,Vitz ,"1,5L",75000,Automatic,None
€57.000,Limassol,Dodge,2018,Challenger ,"3,6L",97000,Automatic,Petrol
€8.950,Famagusta,BMW,2012,3-Series ,"2,0L",235000,Automatic,Petrol
€13.500,Limassol,Mercedes-Benz,2012,C-Class ,"2,2L",186000,Automatic,Plug-In
€252.000,Lefkosia,Mercedes-Benz,2022,G-Class ,"4,0L",3218,Automatic,Petrol
€4.500,Limassol,Toyota,2006,Corolla ,"1,5L",203000,Automatic,Petrol
€3.800,Larnaca,Suzuki,1997,Vitara ,"1,6L",81000,Manual,Petrol
€20.900,Larnaca,Mazda,2018,CX-3 ,"2,0L",32000,Automatic,Petrol
€42.000,Limassol,Alfa,2020,Romeo Stelvio ,"2,0L",22750,Automatic,Petrol
€105.000,Limassol,BMW,2020,X6 ,"3,0L",9000,Automatic,Diesel
€14.900,Limassol,Mazda,2019,Demio ,"1,5L",28820,Automatic,Petrol
€24.500,Lefkosia,Volkswagen,2019,Tiguan ,"2,0L",95000,Automatic,Diesel
€21.400,Lefkosia,Audi,2009,TT ,"2,0L",90000,Automatic,Petrol
€2.900,Limassol,Mini,2006,Cooper ,"1,6L",139000,Automatic,Petrol
€22.850,Limassol,Nissan,2018,Serena ,"2,0L",20600,Automatic,Hybrid
€12.200,Lefkosia,Toyota,2020,Passo ,"1,0L",7165,Automatic,Petrol
€52.222,Limassol,Mercedes-Benz,2017,GLE-Class ,"3,0L",80000,Automatic,Diesel
€25.900,Larnaca,BMW,2018,X1 ,"2,0L",120000,Automatic,Diesel
€48.000,Limassol,Mitsubishi,2004,Lancer Evolution ,"2,0L",1500,Manual,Petrol
€25.900,Larnaca,Mazda,2020,CX-30 ,"2,0L",48000,Automatic,Petrol
€4.800,Lefkosia,Fiat,2009,500 ,"1,3L",118300,Manual,Diesel
€7.900,Lefkosia,KIA,2018,Picanto ,"1,0L",85163,Manual,Petrol
€11.300           ,Larnaca,Nissan,2018,Note ,"1,2L",58300,Automatic,Petrol
€19.000,Lefkosia,Audi,2018,A4 ,"2,0L",122365,Automatic,Diesel
€2.500,Lefkosia,"Opel,",2004,Vauxhall Astra ,"1,4L",260000,Manual,Petrol
€7.950,Paphos,Volkswagen,2009,Tiguan ,"1,4L",169000,Manual,Petrol
€2.350,Famagusta,Volkswagen,2005,Golf ,"1,4L",229000,Manual,Petrol
€6.800,Limassol,Mini,2008,One ,"1,6L",89950,Automatic,Petrol
€6.900,Lefkosia,BMW,2006,7-Series ,"3,0L",320000,Automatic,Diesel
€10.800,Limassol,Mercedes-Benz,2009,E-Class ,"2,2L",250000,Automatic,Diesel
€58.000,Lefkosia,Land,2020,Rover Discovery ,"3,0L",43687,Automatic,Diesel
€6.900,Famagusta,Chevrolet,1999,Luv ,"2,5L",245000,Manual,Diesel
€21.500,Limassol,Seat,2019,Ateca ,"1,5L",80000,Automatic,Petrol
€37.700,Limassol,Mercedes-Benz,2013,GL-Class ,"3,0L",140000,Automatic,Diesel
€8.500,Lefkosia,Volkswagen,2008,Golf ,"1,4L",98500,Manual,Petrol
€4.100,Limassol,Honda,2000,HR-V ,"1,6L",396432,Manual,Petrol
€41.000,Lefkosia,Mercedes-Benz,2019,E-Class ,"2,0L",38733,Automatic,Petrol
€8.000,Limassol,Mazda,2003,RX8 ,"1,3L",44500,Manual,Petrol
€1.400,Limassol,"Opel,",2003,Vauxhall Corsa ,"1,6L",90782,Automatic,Diesel
€54.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",48280,Automatic,Diesel
